Permittivity ,Lambda,Theta,R,T,Rs,Ts,,
1,0.00000063,25,0.02075528,0.97924472,0.03789738,0.96210262,,
1,0.00000063,25,0.04176177,0.95823823,0.07489592,0.92510408,,
1,0.00000064,25,0.06295472,0.93704528,0.11081393,0.88918607,,
1,0.00000064,25,0.07967497,0.92032503,0.13819413,0.86180587,,
1,0.00000065,25,0.08901525,0.91098475,0.15306751,0.84693249,,
1,0.00000065,25,0.08980292,0.91019708,0.1541274,0.8458726,,
1,0.00000066,25,0.08230805,0.91769195,0.1418885,0.8581115,,
1,0.00000066,25,0.06810128,0.93189872,0.11849129,0.88150871,,
1,0.00000067,25,0.04971331,0.95028669,0.08751963,0.91248037,,
1,0.00000067,25,0.03050782,0.96949218,0.05426786,0.94573214,,
1,0.00000068,25,0.01400713,0.98599287,0.02497183,0.97502817,,
1,0.00000068,25,0.00332145,0.99667855,0.00573825,0.99426175,,
1,0.00000069,25,0.00027191,0.99972809,0.00046932,0.99953068,,
1,0.00000069,25,0.00502237,0.99497763,0.0096144,0.9903856,,
1,0.0000007,25,0.01613477,0.98386523,0.03017271,0.96982729,,
1,0.0000007,25,0.0311025,0.9688975,0.05706649,0.94293351,,
1,0.00000071,25,0.04712723,0.95287277,0.08501574,0.91498426,,
1,0.00000071,25,0.06165027,0.93834973,0.10964399,0.89035601,,
1,0.00000072,25,0.07276083,0.92723917,0.12803821,0.87196179,,
1,0.00000072,25,0.07924293,0.92075707,0.13855572,0.86144428,,
1,0.00000073,25,0.08057745,0.91942255,0.14060852,0.85939148,,
1,0.00000073,25,0.07685029,0.92314971,0.13440031,0.86559969,,
1,0.00000074,25,0.06865138,0.93134862,0.12076815,0.87923185,,
1,0.00000074,25,0.05704105,0.94295895,0.10121334,0.89878666,,
1,0.00000075,25,0.04340503,0.95659497,0.07780677,0.92219323,,
1,0.00000075,25,0.02940737,0.97059263,0.05325397,0.94674603,,
1,0.00000045,30,0.06544468,0.93455532,0.15077729,0.84922271,,
1,0.00000046,30,0.03406587,0.96593413,0.0825766,0.9174234,,
1,0.00000046,30,0.00581655,0.99418345,0.01460645,0.98539355,,
1,0.00000047,30,0.00449171,0.99550829,0.00971388,0.99028612,,
1,0.00000047,30,0.03112429,0.96887571,0.07231431,0.92768569,,
1,0.00000048,30,0.0649124,0.9350876,0.14623265,0.85376735,,
1,0.00000048,30,0.08424495,0.91575505,0.18593415,0.81406585,,
1,0.00000049,30,0.07964684,0.92035316,0.17727204,0.82272796,,
1,0.00000049,30,0.05464135,0.94535865,0.1257967,0.8742033,,
1,0.0000005,30,0.02304377,0.97695623,0.05494377,0.94505623,,
1,0.0000005,30,0.00348821,0.99651179,0.00729774,0.99270226,,
1,0.00000051,30,0.00778612,0.99221388,0.01729605,0.98270395,,
1,0.00000051,30,0.03241222,0.96758778,0.07516085,0.92483915,,
1,0.00000052,30,0.06275971,0.93724029,0.14142395,0.85857605,,
1,0.00000052,30,0.08431499,0.91568501,0.18532457,0.81467543,,
1,0.00000053,30,0.08911043,0.91088957,0.19481222,0.80518778,,
1,0.00000053,30,0.07641288,0.92358712,0.16966601,0.83033399,,
1,0.00000054,30,0.05139772,0.94860228,0.1174789,0.8825211,,
1,0.00000054,30,0.0239909,0.9760091,0.05600189,0.94399811,,
